Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
China,285788,289747,293705,297346,300986,301052,322383,75.93454157046028,65.52426740962194,57.81207556974534,43.79517105164321,35.41590918985575,30.780965312469966,31.27287507360281,0.2751570240506515,0.271354676419346,0.2464116333475169,0.2433461627580258,0.004385105276701844,1.711431810264554
"China, Hong Kong SAR",10092,5536,979,567,154,2448,103,0.4549074971838738,0.2265326348577092,0.03667872806113771,0.020836127714071003,0.005539667979639921,0.08623772090049371,0.003500717477145073,-12.00941624926886,-34.6499170953399,-10.923446776055165,-26.068134026282465,55.32148082437176,-79.20744138506453
"China, Macao SAR",0,0,0,0,0,7,5,0,0,0,0,0,0.0018613753968718255,0.001251338932657944,..,..,..,..,..,-8.411805915530323
Dem. People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Japan,6649,5322,3752,1941,2586,16305,33395,0.6183292926643957,0.39064249018806185,0.22247996375806134,0.09649251449749074,0.12117230692673574,0.7304489001603359,1.336392823856663,-4.452345897296409,-6.991202828230383,-13.181714539142101,5.73817952325585,36.82719057783233,17.923359473407917
Mongolia,0,0,0,2,13,15,0,0,0,0,0.01742615666114838,0.08093637156020421,0.07542995071909886,0,..,..,..,37.436043538031825,2.8620168728134647,..
Republic of Korea,230,5,52,588,1070,6905,11727,0.5318287973732282,0.004035968551733045,0.021291928721174004,0.12097147500848653,0.11630599128031158,0.604066007224297,1.00777292238679,-76.57282792978191,46.83611612294654,48.509664586343995,11.973739591146497,37.291742767748815,13.241202215441803
South-Eastern Asia,157977,165400,314189,164630,192726,301552,277323,5.491765324256001,4.470201405005382,6.144655175381091,2.4503970601784353,2.2189232616327508,2.9455090783689712,2.721289562507292,0.9183465955832563,12.832558661420457,-12.925883680013667,3.1513791882473456,8.953459624039485,-2.093989510767859
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Cambodia,0,15,34,130,129,104,114,0,0.016263688604575516,0.023274121230790295,0.11400408660802765,0.15736121107139808,0.1406108459635223,0.14494780607509314,..,16.366206470279028,26.823478516788423,-0.15444092187820554,-4.308430104405989,2.2951887313280723
Indonesia,2138,202,142562,405,811,13548,13789,0.4591806053108597,0.05330377876293013,48.771326037351145,0.13986352083103104,0.2655394609319748,4.006814068211662,3.9047389808430206,-47.18716788367572,131.18529148771438,-117.27290409360769,13.887619740177476,56.31452319644499,0.4408059476019694
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
